Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Ilość 
18690;Data:select:0, Godzina:select:1;k:0, 27:1;250 
18690;Data:select:0, Godzina:select:1;k:0, 28:2;250 
18690;Data:select:0, Godzina:select:1;k:0, 29:3;250 
18690;Data:select:0, Godzina:select:1;k:0, 30:4;250 
18690;Data:select:0, Godzina:select:1;k:0, 1:5;250 
18690;Data:select:0, Godzina:select:1;k:0, 2:6;250 
19684;Data:select:0, Godzina:select:1;k:0, 30:1;250 
20803;Data:select:0, Godzina:select:1;k:0, 27:1;250 
20803;Data:select:0, Godzina:select:1;k:0, 28:2;250 
20803;Data:select:0, Godzina:select:1;k:0, 29:3;250 
20803;Data:select:0, Godzina:select:1;k:0, 30:4;250 
20803;Data:select:0, Godzina:select:1;k:0, 1:5;250 
20803;Data:select:0, Godzina:select:1;k:0, 2:6;250 
20804;Data:select:0, Godzina:select:1;k:0, 27:1;250 
20804;Data:select:0, Godzina:select:1;k:0, 27:2;250 
20804;Data:select:0, Godzina:select:1;k:0, 28:3;250 
20804;Data:select:0, Godzina:select:1;k:0, 28:4;250 
20804;Data:select:0, Godzina:select:1;k:0, 29:5;250 
20804;Data:select:0, Godzina:select:1;k:0, 29:6;250 
20804;Data:select:0, Godzina:select:1;k:0, 30:7;250 
20804;Data:select:0, Godzina:select:1;k:0, 30:8;250 
20804;Data:select:0, Godzina:select:1;k:0, 1:9;250 
20804;Data:select:0, Godzina:select:1;k:0, 1:10;250 
20804;Data:select:0, Godzina:select:1;k:0, 2:11;250 
20804;Data:select:0, Godzina:select:1;k:0, 2:12;250 
20805;Data:select:0, Godzina:select:1;k:0, 27:1;250 
20805;Data:select:0, Godzina:select:1;k:0, 28:2;250 
20805;Data:select:0, Godzina:select:1;k:0, 29:3;250 
20805;Data:select:0, Godzina:select:1;k:0, 30:4;250 
20805;Data:select:0, Godzina:select:1;k:0, 1:5;250 
20805;Data:select:0, Godzina:select:1;k:0, 2:6;250 
21327;Data:select:0, Godzina:select:1;k:0, 27:1;250 
21327;Data:select:0, Godzina:select:1;k:0, 28:2;250 
21327;Data:select:0, Godzina:select:1;k:0, 29:3;250 
21327;Data:select:0, Godzina:select:1;k:0, 30:4;250 
21327;Data:select:0, Godzina:select:1;k:0, 1:5;250 
21327;Data:select:0, Godzina:select:1;k:0, 2:6;250 
21353;Data:select:0, Godzina:select:1;k:0, 27:1;250 
21353;Data:select:0, Godzina:select:1;k:0, 27:2;250 
21353;Data:select:0, Godzina:select:1;k:0, 28:3;250 
21353;Data:select:0, Godzina:select:1;k:0, 28:4;250 
21358;Data:select:0, Godzina:select:1;k:0, 27:1;250 
21358;Data:select:0, Godzina:select:1;k:0, 28:2;250 
21358;Data:select:0, Godzina:select:1;k:0, 28:3;250 
21358;Data:select:0, Godzina:select:1;k:0, 29:4;250 
21358;Data:select:0, Godzina:select:1;k:0, 29:5;250 
21358;Data:select:0, Godzina:select:1;k:0, 29:6;250 
21358;Data:select:0, Godzina:select:1;k:0, 30:7;250 
21358;Data:select:0, Godzina:select:1;k:0, 30:8;250 
21358;Data:select:0, Godzina:select:1;k:0, 30:9;250 
21358;Data:select:0, Godzina:select:1;k:0, 1:10;250 
