Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Wpływ na cenę; Ilość 
18690;Data:select:0, Godzina:select:1;10-27:0, 14-0:1;-8;250 
18690;Data:select:0, Godzina:select:1;10-28:0, 14-0:1;-4;250 
18690;Data:select:0, Godzina:select:1;10-29:0, 14-0:1;-8;250 
18690;Data:select:0, Godzina:select:1;10-30:0, 14-0:1;-12;250 
18690;Data:select:0, Godzina:select:1;11-1:0, 14-0:1;-8;250 
18690;Data:select:0, Godzina:select:1;11-2:0, 14-0:1;-8;250 
19684;Data:select:0, Godzina:select:1;10-30:0, 9-0:1;-12;250 
20803;Data:select:0, Godzina:select:1;10-27:0, 11-30:1;-8;250 
20803;Data:select:0, Godzina:select:1;10-28:0, 11-30:1;-4;250 
20803;Data:select:0, Godzina:select:1;10-29:0, 11-30:1;-8;250 
20803;Data:select:0, Godzina:select:1;10-30:0, 11-30:1;-12;250 
20803;Data:select:0, Godzina:select:1;11-1:0, 11-30:1;-8;250 
20803;Data:select:0, Godzina:select:1;11-2:0, 12-0:1;-8;250 
20804;Data:select:0, Godzina:select:1;10-27:0, 11-45:1;-8;250 
20804;Data:select:0, Godzina:select:1;10-27:0, 20-15:1;-8;250 
20804;Data:select:0, Godzina:select:1;10-28:0, 11-45:1;-4;250 
20804;Data:select:0, Godzina:select:1;10-28:0, 20-15:1;-4;250 
20804;Data:select:0, Godzina:select:1;10-29:0, 12-0:1;-8;250 
20804;Data:select:0, Godzina:select:1;10-29:0, 20-0:1;-8;250 
20804;Data:select:0, Godzina:select:1;10-30:0, 11-45:1;-12;250 
20804;Data:select:0, Godzina:select:1;10-30:0, 20-15:1;-12;250 
20804;Data:select:0, Godzina:select:1;11-1:0, 12-10:1;-8;250 
20804;Data:select:0, Godzina:select:1;11-1:0, 20-30:1;-8;250 
20804;Data:select:0, Godzina:select:1;11-2:0, 12-15:1;-8;250 
